type,queue,priority,language,tag_1,tag_2
Request,Billing and Payments,medium,de,Security,Privacy
Change,Sales and Pre-Sales,medium,en,Technical,Product
Change,Customer Service,low,de,Security,IT
Incident,Service Outages and Maintenance,high,en,Technical,Product
Incident,Technical Support,medium,de,Performance,Network
Incident,Product Support,low,en,Technical,Bug
Incident,Technical Support,high,en,Crash,Issue
Request,Returns and Exchanges,medium,de,Feature,Documentation
Incident,Technical Support,high,de,Technical,Bug
Change,IT Support,medium,de,Customer,Product
Incident,IT Support,medium,de,Technical,Customer
Request,Billing and Payments,medium,en,Feedback,Sales
Incident,Technical Support,high,en,Outage,Disruption
Incident,Product Support,high,en,Security,Bug
Incident,Product Support,high,en,Technical,Campaign
Incident,Technical Support,high,en,Technical,Incident
Incident,Technical Support,high,en,Outage,Incident
Problem,Product Support,medium,en,Technical,Integration
Request,Customer Service,medium,en,Documentation,Feature
Request,Technical Support,medium,en,Feature,Feedback
Incident,Customer Service,medium,de,Integration,Bug
Problem,Technical Support,medium,en,Technical,Integration
Change,Technical Support,high,de,Security,Bug
Request,Customer Service,high,de,Feedback,Sales
Incident,Technical Support,high,de,Security,Breach
Incident,Service Outages and Maintenance,high,de,Outage,Disruption
Problem,Technical Support,high,en,Technical,Crash
Request,Technical Support,medium,de,Product,Performance
Incident,Returns and Exchanges,medium,de,Security,Breach
Request,Technical Support,high,en,Technical,Customer
Incident,Human Resources,low,en,Technical,Bug
Request,Technical Support,high,en,Technical,Integration
Change,Billing and Payments,low,en,Security,Feedback
Request,Billing and Payments,high,de,Payment,Inquiry
Incident,IT Support,medium,en,Crash,Hardware
Request,Technical Support,high,en,Feature,IT
Request,Billing and Payments,medium,en,Billing,Payment
Request,Technical Support,high,de,Technical,Integration
Incident,Customer Service,low,en,Technical,Security
Problem,IT Support,low,en,Network,Disruption
Incident,Returns and Exchanges,medium,de,Security,Breach
Problem,Customer Service,low,en,Security,Incident
Incident,Product Support,medium,en,Technical,SocialMedia
Request,Customer Service,high,en,Technical,Guidance
Request,Billing and Payments,medium,de,Billing,Sales
Request,Technical Support,medium,de,Feature,Feedback
Problem,IT Support,low,en,Technical,Bug
Incident,Technical Support,high,de,Technical,Server
Request,Sales and Pre-Sales,medium,de,Security,Documentation
Request,Customer Service,low,en,Feedback,Sales
Request,Technical Support,high,en,Technical,Integration
Incident,Technical Support,medium,de,Bug,Performance
Incident,IT Support,medium,de,Bug,Performance
Request,Sales and Pre-Sales,high,en,Feature,Documentation
Change,Billing and Payments,low,en,Security,HubSpot
Incident,Technical Support,high,en,Bug,Hardware
Incident,Technical Support,high,en,Bug,Performance
Request,Customer Service,low,de,Security,Documentation
Request,Billing and Payments,medium,en,Sales,Feedback
Incident,Technical Support,high,en,Bug,Performance
Incident,Technical Support,medium,en,Bug,Performance
Incident,IT Support,high,de,Outage,Technical
Problem,Product Support,medium,de,Bug,Performance
Request,Human Resources,medium,en,Product,Feature
Incident,Returns and Exchanges,medium,en,Bug,Performance
Problem,Customer Service,low,de,Bug,Performance
Incident,Technical Support,high,en,Performance,IT
Incident,Customer Service,high,en,Bug,Outage
Incident,Technical Support,medium,en,Crash,Platform
Change,Service Outages and Maintenance,high,de,Product,Customer
Incident,Technical Support,high,en,Performance,Outage
Request,Product Support,medium,en,Feedback,Sales
Incident,IT Support,high,en,Bug,Performance
Problem,IT Support,high,de,Network,Performance
Incident,IT Support,medium,en,Performance,Outage
Incident,Product Support,high,de,Crash,Performance
Request,Sales and Pre-Sales,low,de,Feature,Documentation
Request,Sales and Pre-Sales,low,de,Security,Documentation
Problem,Billing and Payments,low,de,Billing,Bug
Change,Product Support,medium,de,Technical,Product
Request,IT Support,high,de,Technical,Product
Request,Technical Support,medium,en,Documentation,Feature
Problem,Technical Support,high,de,Technical,Bug
Request,IT Support,high,en,Customer,Guidance
Request,Technical Support,high,en,Security,Medical
Change,Service Outages and Maintenance,low,en,Customer,Marketing
Incident,Technical Support,high,en,Network,Performance
Incident,Billing and Payments,medium,en,Bug,Performance
Incident,Technical Support,high,en,Outage,Network
Problem,Billing and Payments,medium,en,Billing,Payment
Change,Service Outages and Maintenance,low,en,Feature,Feedback
Incident,Technical Support,high,en,Outage,Performance
Incident,IT Support,high,en,Feedback,Performance
Change,Technical Support,high,de,Technical,Product
Request,Customer Service,medium,en,Security,Guidance
Request,Billing and Payments,medium,en,Billing,Pricing
Request,Customer Service,medium,de,Product,Integration
Change,Technical Support,high,en,Security,IT
Incident,Technical Support,high,de,Crash,Dashboard
Problem,Technical Support,high,en,Bug,Network
Request,IT Support,high,en,Security,Medical
Request,Billing and Payments,high,en,Payment,Billing
Problem,Human Resources,medium,de,Bug,Security
Change,Product Support,low,de,Technical,Security
Change,Human Resources,low,de,Feature,Maintenance
Request,Customer Service,low,en,Technical,ProjectManagement
Problem,Customer Service,medium,de,Security,Network
Problem,Product Support,low,en,Feedback,Sales
Change,IT Support,medium,de,Feature,Feedback
Change,Returns and Exchanges,low,en,Customer,Product
Change,Customer Service,high,en,Security,IT
Request,Customer Service,medium,en,Feedback,IT
Incident,Sales and Pre-Sales,medium,en,Bug,Performance
Request,Customer Service,high,en,Feedback,Sales
Incident,Technical Support,high,en,Outage,Disruption
Incident,Technical Support,high,en,Website,Crash
Change,Billing and Payments,low,en,Security,Compliance
Incident,Returns and Exchanges,medium,en,Technical,Bug
Change,Human Resources,medium,en,Feedback,Sales
Request,Billing and Payments,medium,en,Feedback,Sales
Incident,Sales and Pre-Sales,medium,en,Security,IT
Change,Product Support,high,en,Technical,Product
Incident,Technical Support,low,en,Security,Network
Problem,General Inquiry,high,en,Technical,Customer
Incident,Technical Support,high,en,Performance,Bug
Incident,Technical Support,medium,de,Bug,Performance
Incident,Technical Support,high,de,Technical,Bug
Problem,Technical Support,medium,en,Performance,Bug
Incident,Customer Service,high,en,Bug,Performance
Request,Customer Service,low,de,Feedback,Sales
Incident,Product Support,medium,de,Performance,IT
Problem,Customer Service,low,de,Technical,Bug
Change,Customer Service,medium,en,Technical,Security
Problem,Customer Service,low,en,Network,Performance
Request,IT Support,high,en,Technical,Documentation
Request,IT Support,medium,de,Security,Safety
Request,Technical Support,high,de,Technical,Security
Request,Product Support,high,en,Feature,Training
Change,Sales and Pre-Sales,low,en,Feedback,Feature
Request,Technical Support,high,de,Technical,Security
Incident,IT Support,high,de,Bug,Performance
Request,Technical Support,high,de,Security,Breach
Incident,IT Support,high,en,Technical,Security
Request,Product Support,high,de,Feedback,Sales
Request,IT Support,high,en,Security,IT
Problem,Technical Support,high,en,Technical,Bug
Incident,Technical Support,high,de,Technical,Bug
Problem,Customer Service,medium,en,Crash,Outage
Request,Technical Support,high,de,Feedback,Product
Request,Customer Service,medium,de,Technical,Integration
Request,Product Support,medium,de,Security,Backup
Request,Product Support,high,de,Customer,Sales
Problem,IT Support,low,en,Technical,Bug
Incident,Customer Service,medium,de,Technical,Security
Request,Technical Support,high,de,Customer,Product
Incident,IT Support,medium,en,Technical,Network
Incident,Technical Support,high,de,Performance,IT
Problem,Returns and Exchanges,high,en,Billing,Technical
Problem,Billing and Payments,high,de,Billing,Refund
Incident,Technical Support,low,en,Bug,Crash
Problem,Technical Support,high,de,Technical,Bug
Incident,Customer Service,low,en,Performance,Feature
Problem,Product Support,high,de,Technical,Security
Incident,Service Outages and Maintenance,high,de,Crash,Dashboard
Request,Customer Service,low,en,Security,Documentation
Problem,IT Support,high,en,Outage,Disruption
Request,Billing and Payments,high,en,Performance,Feedback
Incident,Technical Support,low,de,Technical,Bug
Problem,Product Support,low,de,Virus,Network
Problem,Returns and Exchanges,medium,en,Technical,Bug
Problem,Technical Support,high,de,Customer,Campaign
Incident,Technical Support,high,de,Outage,Disruption
Request,Customer Service,low,en,Security,Documentation
Problem,Customer Service,medium,de,Security,Bug
Incident,Customer Service,medium,de,Technical,Outage
Incident,Technical Support,high,de,Security,Network
Incident,Billing and Payments,medium,de,Billing,Payment
Incident,Customer Service,high,en,Crash,Technical
Request,Billing and Payments,high,de,Billing,Product
Problem,Technical Support,high,en,Network,Performance
Request,Product Support,medium,de,Security,Technical
Request,Technical Support,medium,en,Technical,Product
Incident,Customer Service,medium,de,Technical,Security
Incident,Technical Support,high,de,Technical,Feedback
Problem,Product Support,medium,en,Technical,Bug
Incident,Returns and Exchanges,medium,de,Security,Bug
Change,Service Outages and Maintenance,high,en,Performance,Outage
Change,IT Support,high,en,Security,IT
Problem,Customer Service,medium,de,Crash,Performance
Incident,Billing and Payments,high,en,Billing,Payment
Request,IT Support,high,en,Feature,Documentation
Incident,Product Support,medium,en,Technical,Outage
Problem,Customer Service,low,de,Technical,Customer
Incident,Technical Support,high,en,Crash,Technical
Incident,Technical Support,high,en,Technical,Product
Problem,Technical Support,medium,en,Technical,Bug
Incident,Customer Service,medium,de,Bug,Performance
Incident,Product Support,high,de,Technical,Customer
Incident,Technical Support,medium,en,Technical,Bug
Change,Sales and Pre-Sales,medium,de,Customer,Feedback
Incident,Technical Support,medium,en,Outage,Data
Problem,IT Support,high,en,Campaign,Issue
Request,Product Support,low,en,Technical,Customer
Incident,Product Support,low,en,Performance,Network
Incident,Customer Service,medium,de,Security,Bug
Request,IT Support,medium,de,Security,Privacy
Request,IT Support,high,en,Documentation,Feature
Incident,Billing and Payments,low,en,Billing,Technical
Incident,Technical Support,medium,en,Bug,Performance
Problem,Returns and Exchanges,high,en,Return,Product
Incident,Technical Support,high,en,Outage,Disruption
Incident,Product Support,low,en,Login,Technical
Change,IT Support,medium,de,Security,IT
Incident,Customer Service,medium,en,Technical,Bug
Incident,Technical Support,high,de,Technical,Crash
Change,Service Outages and Maintenance,high,de,Technical,Product
Incident,Customer Service,medium,de,Feedback,Performance
Request,Technical Support,medium,en,Technical,Security
Problem,IT Support,high,de,Technical,Customer
Request,Customer Service,high,de,Backup,Security
Problem,Technical Support,high,en,Technical,Bug
Incident,Technical Support,high,en,Bug,Performance
Problem,Customer Service,medium,en,Bug,Performance
Change,Returns and Exchanges,medium,en,Feature,Feedback
Problem,Billing and Payments,medium,en,Billing,Payment
Request,Billing and Payments,low,de,Feature,Documentation
Incident,Customer Service,medium,en,Bug,Performance
Problem,IT Support,medium,de,Customer,Campaign
Request,Customer Service,low,en,Documentation,Feedback
Request,Sales and Pre-Sales,medium,de,Customer,Product
Request,Customer Service,medium,en,Security,IT
Incident,Customer Service,low,en,Bug,Performance
Incident,Returns and Exchanges,high,de,Technical,Bug
Problem,Returns and Exchanges,low,de,Bug,Performance
Request,Technical Support,high,en,Technical,Security
Problem,Returns and Exchanges,medium,en,Security,Breach
Request,Billing and Payments,medium,en,Billing,Payment
Change,General Inquiry,low,de,Customer,Product
Problem,Returns and Exchanges,high,de,Bug,Performance
Problem,IT Support,medium,en,Technical,Crash
Incident,IT Support,high,en,Security,Alert
Request,Service Outages and Maintenance,high,de,Feedback,Feature
Request,Technical Support,high,de,Feature,Documentation
Incident,Customer Service,medium,de,Security,Breach
Incident,Returns and Exchanges,medium,en,Bug,Performance
Incident,Product Support,low,de,Bug,Network
Incident,Product Support,high,de,Bug,Crash
Incident,IT Support,high,en,Bug,Performance
Request,Customer Service,medium,en,Feature,Documentation
Problem,Technical Support,high,en,Login,Performance
Incident,Technical Support,medium,en,Bug,Crash
Request,Returns and Exchanges,medium,de,Feedback,Product
Incident,Customer Service,high,en,Security,IT
Change,Service Outages and Maintenance,high,de,Security,Breach
Problem,Sales and Pre-Sales,medium,de,Technical,Customer
Incident,Technical Support,high,de,Customer,Outage
Incident,Returns and Exchanges,low,en,Technical,Crash
Problem,Technical Support,high,en,Performance,Network
Incident,Technical Support,high,en,Security,Virus
Change,Product Support,low,de,Technical,Product
Request,IT Support,high,de,Account,IT
Request,Billing and Payments,medium,de,Feature,Documentation
Request,Customer Service,medium,en,Product,Feedback
Request,IT Support,low,en,Security,Documentation
Incident,Technical Support,medium,en,Security,Virus
Incident,Customer Service,low,en,Bug,Outage
Incident,Billing and Payments,high,en,Billing,Payment
Incident,Product Support,low,en,Performance,Disruption
Request,Service Outages and Maintenance,high,de,Technical,Product
Incident,Sales and Pre-Sales,high,en,Crash,Technical
Request,Customer Service,medium,en,Feature,Documentation
Incident,Technical Support,high,de,IT,Tech Support
Change,Billing and Payments,high,en,Billing,Payment
Incident,Product Support,high,en,Crash,Software
Incident,Technical Support,high,de,Technical,Software
Problem,IT Support,high,en,Technical,Bug
Change,Technical Support,medium,en,Product,Integration
Incident,Sales and Pre-Sales,high,de,Sales,Performance
Problem,IT Support,medium,en,Technical,Security
Request,Technical Support,high,en,Feedback,Product
Change,Customer Service,medium,de,Digital Marketing,Strategy
Request,Product Support,low,de,Technical,Finance
Problem,Returns and Exchanges,high,de,Technical,Product
Request,Customer Service,low,en,Feature,Feedback
Incident,Customer Service,medium,en,Crash,Performance
Request,Billing and Payments,high,en,Customer,Product
Request,Customer Service,high,de,Technical,Security
Incident,Customer Service,medium,de,Feedback,Performance
Request,Product Support,high,en,Performance,IT
Change,Technical Support,high,en,Feature,Feedback
Incident,Technical Support,medium,en,Technical,Hardware
Problem,Billing and Payments,medium,de,Billing,Payment
Request,Customer Service,medium,en,Customer,Marketing
Incident,Technical Support,high,en,Crash,Product
Request,Customer Service,medium,en,Customer,Marketing
Request,Customer Service,low,en,Feature,IT
Request,Customer Service,low,de,Sales,Feedback
Request,IT Support,low,en,Customer,Strategy
Change,Customer Service,low,en,Product,Feature
Problem,IT Support,high,en,Performance,Bug
Request,IT Support,low,en,Customer,Guidance
Change,IT Support,medium,en,Customer,Product
Incident,Technical Support,high,de,Bug,Performance
Request,Billing and Payments,low,de,Billing,Payment
Request,Customer Service,high,de,Security,Documentation
Problem,Billing and Payments,medium,en,Technical,Customer
Incident,Product Support,medium,en,Crash,Performance
Problem,Customer Service,low,en,Campaign,Performance
Incident,Technical Support,high,en,Performance,Outage
Incident,Technical Support,high,en,Bug,Crash
Problem,Technical Support,low,en,Technical,Integration
Incident,Billing and Payments,medium,en,Billing,Bug
Request,Customer Service,high,de,Feedback,Documentation
Incident,Product Support,high,en,Technical,Investment
Incident,Technical Support,medium,en,Technical,Bug
Incident,Customer Service,medium,de,Security,IT
Problem,Customer Service,medium,en,Feedback,Performance
Incident,Technical Support,medium,en,Technical,Bug
Incident,Product Support,low,en,Performance,Disruption
Incident,Product Support,medium,en,Bug,Performance
Request,Sales and Pre-Sales,medium,en,Technical,Software
Request,IT Support,medium,en,Feedback,IT
Incident,Technical Support,high,en,Feedback,Performance
Problem,IT Support,medium,en,Technical,Hardware
Incident,Service Outages and Maintenance,low,de,Backup,Crash
Problem,Product Support,medium,en,Bug,Performance
Change,Sales and Pre-Sales,medium,en,Technical,Integration
Request,Returns and Exchanges,high,en,Security,IT
Request,Billing and Payments,low,de,Feedback,Documentation
Incident,Technical Support,medium,de,Technical,Customer
Request,Billing and Payments,high,de,Feature,Documentation
Problem,Billing and Payments,high,en,Product,Technical
Change,Technical Support,medium,en,Security,Compliance
Request,Returns and Exchanges,low,de,Technical,Security
Problem,Product Support,high,de,Bug,Performance
Change,Product Support,high,de,Product,Feature
Problem,Technical Support,medium,de,Technical,Crash
Incident,Billing and Payments,medium,en,Customer,General
Request,Product Support,medium,en,Technical,Security
Incident,Technical Support,low,de,Performance,Disruption
Request,Technical Support,high,en,Security,Medical
Incident,Product Support,medium,en,Crash,Bug
Incident,Technical Support,medium,en,Technical,Security
Problem,IT Support,high,de,Bug,Network
Incident,Technical Support,high,de,Customer,Technical
Incident,Technical Support,high,de,Security,Virus
Change,General Inquiry,low,en,Technical,Security
Problem,Billing and Payments,medium,en,Technical,Security
Problem,IT Support,high,de,Feedback,Performance
Request,Technical Support,medium,de,Customer,Product
Incident,Customer Service,medium,en,Technical,Security
Incident,Product Support,medium,de,Security,IT
Incident,Technical Support,high,en,Incident,Security
Incident,Billing and Payments,low,de,Billing,Payment
Incident,Technical Support,high,en,Technical,Security
Problem,Product Support,medium,en,Feedback,Performance
Incident,IT Support,high,en,Bug,Performance
Incident,Technical Support,high,de,Technical,Crash
Problem,IT Support,high,en,Bug,Performance
Problem,Technical Support,high,de,Bug,IT
Problem,Technical Support,high,de,Technical,Customer
Request,IT Support,high,de,Technical,Security
Incident,Returns and Exchanges,medium,en,Security,Bug
Incident,Service Outages and Maintenance,high,en,Crash,Outage
Problem,Technical Support,low,de,Bug,Performance
Incident,Product Support,high,de,Bug,Performance
Incident,Product Support,medium,en,Feedback,Performance
Problem,Product Support,medium,de,Technical,Bug
Incident,Customer Service,medium,de,Customer,Marketing
Change,IT Support,medium,de,Security,Virus
Problem,IT Support,high,en,Crash,Database
Incident,Billing and Payments,high,de,Security,IT
Request,IT Support,medium,en,Customer,Marketing
Problem,IT Support,medium,en,Bug,Hardware
Request,Billing and Payments,medium,en,Billing,Payment
Request,Customer Service,medium,de,Feature,Documentation
Incident,Technical Support,high,en,Network,Performance
Request,Technical Support,medium,de,Feedback,Product
Request,IT Support,high,en,Feature,Performance
Request,Technical Support,high,en,Feedback,Feature
Request,Sales and Pre-Sales,medium,en,Feature,Documentation
Incident,Customer Service,low,en,Technical,Product
Request,Customer Service,low,de,Security,IT
Request,Technical Support,high,en,Feedback,Sales
Incident,Technical Support,high,de,Technical,Product
Change,Sales and Pre-Sales,high,en,Marketing,Strategy
Problem,Technical Support,high,en,Security,IT
Incident,Technical Support,high,de,Outage,Bug
Request,Sales and Pre-Sales,medium,en,Feedback,Sales
Incident,Customer Service,high,en,Feedback,Sales
Incident,Product Support,medium,de,Bug,Hardware
Incident,Service Outages and Maintenance,high,de,Technical,Bug
Incident,IT Support,medium,en,Performance,Network
Request,Customer Service,medium,de,Security,Compliance
Problem,Product Support,low,en,Feature,Documentation
Incident,Service Outages and Maintenance,high,de,Outage,Technical
Problem,Technical Support,medium,en,Technical,Bug
Request,Returns and Exchanges,medium,en,Security,Feature
Incident,Technical Support,high,en,Bug,Crash
Problem,IT Support,medium,de,Bug,Performance
Request,Sales and Pre-Sales,low,de,Feature,Documentation
Problem,Technical Support,high,en,Technical,Outage
Problem,Billing and Payments,high,de,Billing,Bug
Incident,Technical Support,high,en,Security,Breach
Incident,Sales and Pre-Sales,medium,en,Bug,Performance
Request,Customer Service,medium,en,Technical,Integration
Incident,Service Outages and Maintenance,high,en,Outage,Disruption
Problem,IT Support,high,en,Security,Breach
Request,Customer Service,low,en,Technical,Integration
Problem,Product Support,medium,en,Bug,Performance
Problem,IT Support,high,de,Outage,Bug
Request,Product Support,medium,en,Feedback,IT
Request,Billing and Payments,medium,en,Feedback,Sales
Request,Billing and Payments,low,de,Billing,Payment
Incident,Technical Support,high,de,Bug,Hardware
Incident,IT Support,high,de,Security,IT
Incident,Technical Support,low,en,Crash,Technical
Change,General Inquiry,low,de,Technical,Integration
Request,Service Outages and Maintenance,medium,de,Security,Authentication
Request,Customer Service,low,en,Feedback,Documentation
Request,Customer Service,medium,en,IT,Tech Support
Change,Human Resources,medium,en,Security,Breach
Problem,Product Support,high,en,Bug,Performance
Problem,Technical Support,high,en,Bug,Performance
Incident,Technical Support,high,en,Security,IT
Problem,Technical Support,high,de,Technical,Website
Incident,IT Support,high,en,Security,IT
Incident,Product Support,medium,en,Technical,Hardware
Change,Product Support,medium,de,Feature,Feedback
Incident,Returns and Exchanges,medium,en,Security,Breach
Incident,Service Outages and Maintenance,medium,en,Outage,Disruption
Request,Product Support,medium,en,Technical,Documentation
Request,Customer Service,medium,de,Customer,Technical
Incident,Customer Service,high,en,Bug,Performance
Change,Product Support,medium,de,Feedback,Sales
Incident,Technical Support,medium,en,Security,Virus
Incident,Technical Support,high,en,Performance,IT
Incident,Product Support,medium,de,Notification,Alert
Problem,Technical Support,medium,de,Bug,Network
Request,Product Support,high,de,Feedback,IT
Request,Technical Support,high,en,Feature,Documentation
Request,Technical Support,high,en,Onboarding,Guidance
Incident,Technical Support,medium,en,Bug,Performance
Incident,General Inquiry,low,de,Technical,Bug
Incident,Technical Support,high,en,Security,Breach
Request,Billing and Payments,high,en,Feature,Feedback
Incident,Product Support,medium,de,Security,Incident
Request,Technical Support,high,de,Backup,Security
Problem,Technical Support,medium,en,Bug,Performance
Incident,Technical Support,high,de,Technical,Bug
Problem,IT Support,high,en,Crash,Outage
Problem,IT Support,low,de,Bug,Performance
Problem,Technical Support,high,de,Login,Bug
Request,Billing and Payments,low,en,Security,IT
Incident,Technical Support,high,de,Customer,Technical
Change,Sales and Pre-Sales,low,de,Feature,Maintenance
Request,Billing and Payments,high,en,Feature,Documentation
Incident,IT Support,medium,en,Security,Breach
Request,Returns and Exchanges,medium,de,Product,Strategy
Request,Product Support,low,en,Technical,Product
Incident,General Inquiry,low,en,Technical,Bug
Problem,Product Support,high,en,Performance,IT
Problem,IT Support,medium,de,Outage,Disruption
Change,Product Support,medium,en,Feature,Feedback
Problem,Returns and Exchanges,medium,de,Bug,Performance
Request,Product Support,low,en,Feedback,Feature
Request,Customer Service,medium,en,Security,Documentation
Request,Customer Service,high,en,Technical,Product
Problem,Customer Service,low,en,Technical,Customer
Request,Billing and Payments,high,de,Feedback,Sales
Incident,Technical Support,high,en,Security,Alert
Request,Technical Support,high,de,Feedback,Feature
Incident,Technical Support,high,de,Technical,Issue
Request,Human Resources,medium,de,Product,Feature
Incident,Technical Support,high,de,Bug,Security
Incident,Billing and Payments,low,de,Technical,Customer
Incident,Customer Service,medium,de,Technical,Product
Problem,Customer Service,medium,de,Customer,Product
Request,Billing and Payments,medium,de,Backup,Security
Incident,Customer Service,high,de,Security,Bug
Problem,Sales and Pre-Sales,medium,de,Security,IT
Request,Billing and Payments,high,en,Feature,Feedback
Incident,Customer Service,high,en,Bug,Crash
Change,Technical Support,high,de,Technical,Integration
Request,Sales and Pre-Sales,medium,de,Feedback,Sales
Incident,Product Support,low,de,Technical,Software
Incident,Technical Support,medium,en,Bug,Performance
Incident,Product Support,high,en,Bug,Performance
Problem,Product Support,high,de,Security,IT
Request,Service Outages and Maintenance,medium,de,Technical,Product
Incident,IT Support,high,en,Security,Breach
Incident,Technical Support,high,en,Crash,Performance
Incident,Technical Support,medium,de,Technical,Crash
Request,Billing and Payments,medium,en,Billing,Payment
Request,Returns and Exchanges,low,en,Feedback,IT
Change,Technical Support,high,en,Technical,Integration
Request,Product Support,low,en,Product,Documentation
Request,Customer Service,low,de,Feature,IT
Request,Product Support,medium,en,Feature,Documentation
Change,IT Support,high,en,Security,Account
Incident,Technical Support,high,en,Technical,Security
Incident,Billing and Payments,high,de,Billing,Product
Incident,Customer Service,low,en,Performance,Network
Incident,Sales and Pre-Sales,medium,de,Bug,Performance
Incident,IT Support,high,en,Security,Breach
Change,General Inquiry,low,en,Technical,Integration
Request,Product Support,low,en,Feedback,Product
Incident,Sales and Pre-Sales,low,de,Bug,Performance
Request,Technical Support,high,en,Customer,Integration
Request,Technical Support,medium,de,Security,Feedback
Request,Billing and Payments,high,de,Sales,Pricing
Request,Billing and Payments,high,de,Feedback,Feature
Request,Customer Service,high,en,Feedback,Performance
Problem,Product Support,high,en,Technical,Integration
Incident,Service Outages and Maintenance,high,en,Outage,Disruption
Incident,Product Support,low,de,Bug,Performance
Problem,Customer Service,low,de,Performance,IT
Incident,Technical Support,high,en,Bug,Performance
Request,Customer Service,medium,de,Feedback,Sales
Request,IT Support,medium,en,Customer,Digital
Incident,Technical Support,low,de,Bug,Performance
Change,Technical Support,high,en,Security,Performance
Problem,Technical Support,high,de,Security,Network
Incident,Technical Support,high,en,Technical,Crash
Problem,IT Support,high,en,Crash,Bug
Incident,Technical Support,high,en,Technical,Bug
Incident,Technical Support,high,en,Security,Incident
Incident,Technical Support,high,de,Security,Bug
Problem,Technical Support,high,en,Security,IT
Incident,Returns and Exchanges,medium,en,Order,Shipment
Problem,IT Support,high,de,Crash,Performance
Incident,Returns and Exchanges,high,de,Technical,Security
Problem,Product Support,medium,en,Breach,Security
Problem,Customer Service,high,en,Breach,Security
Problem,Technical Support,high,en,Security,Outage
Problem,Customer Service,low,de,Security,Bug
Problem,Technical Support,high,en,Performance,Bug
Incident,Product Support,medium,en,Technical,Customer
Incident,Human Resources,low,de,Technical,Product
Change,Billing and Payments,high,en,Billing,Security
Incident,Customer Service,high,en,Technical,Bug
Incident,IT Support,medium,en,Technical,Bug
Problem,Technical Support,medium,en,Technical,Product
Request,Product Support,medium,en,Technical,Guidance
Change,Returns and Exchanges,low,en,Feedback,Sales
Problem,Billing and Payments,high,en,Billing,Payment
Request,Product Support,high,de,Feature,Feedback
Problem,Product Support,medium,de,Technical,Campaign
Problem,Billing and Payments,high,en,Account,Billing
Incident,Returns and Exchanges,high,en,Security,Outage
Request,Technical Support,high,en,Technical,Product
Problem,IT Support,medium,de,Network,IT
Incident,Human Resources,low,en,HR,Employee
Incident,Product Support,high,en,Bug,Performance
Request,Technical Support,high,en,Security,IT
Request,Product Support,medium,de,Customer,Marketing
Incident,Technical Support,low,de,Bug,Network
Incident,Technical Support,medium,de,Technical,Outage
Request,Customer Service,high,en,Security,Virus
Incident,Technical Support,high,de,Technical,Bug
Request,Technical Support,low,de,Customer,Product
Incident,Sales and Pre-Sales,medium,en,Feedback,Performance
Incident,Technical Support,low,en,Technical,Dashboard
Incident,Returns and Exchanges,high,de,Bug,Performance
Request,Product Support,medium,en,Feedback,Product
Incident,Billing and Payments,low,de,Billing,Accounting
Problem,Product Support,medium,en,Bug,Performance
Request,Billing and Payments,medium,de,Billing,Payment
Incident,Technical Support,high,en,Performance,Network
Request,Billing and Payments,medium,en,Feedback,Sales
Request,Technical Support,low,en,Security,Compliance
Request,Returns and Exchanges,medium,en,Security,Compliance
Incident,Human Resources,low,en,Bug,Performance
Problem,Sales and Pre-Sales,medium,en,Security,Breach
Incident,Customer Service,medium,de,Technical,Integration
Request,Customer Service,medium,en,Customer,Marketing
Problem,Product Support,high,en,Bug,Crash
Request,Customer Service,medium,de,Customer,Product
Problem,Technical Support,medium,de,Security,Breach
Problem,IT Support,low,en,Technical,Outage
Incident,Technical Support,high,en,Security,Virus
Incident,Returns and Exchanges,low,de,Bug,Performance
Request,Technical Support,low,de,Customer,Product
Incident,Product Support,medium,en,Technical,Product
Problem,Technical Support,low,de,Performance,Disruption
Incident,IT Support,high,de,Security,Breach
Request,IT Support,high,de,Documentation,IT
Change,Product Support,medium,de,Feature,Performance
Request,Returns and Exchanges,high,de,Technical,Integration
Change,Customer Service,medium,en,Security,Integration
Incident,Returns and Exchanges,medium,de,Billing,Payment
Problem,Customer Service,medium,de,Technical,Customer
Change,Product Support,medium,en,Security,IT
Problem,Billing and Payments,high,de,Billing,Payment
Incident,Service Outages and Maintenance,high,de,Crash,Technical
Problem,Technical Support,medium,de,Technical,Bug
Request,Billing and Payments,low,en,Customer,Product
Problem,Customer Service,low,de,Customer,Campaign
Problem,Product Support,medium,en,Lead,Feedback
Incident,Technical Support,low,en,Performance,Disruption
Incident,Technical Support,low,de,Technical,Bug
Problem,Customer Service,high,de,Customer,Technical
Request,Technical Support,high,en,Feedback,IT
Problem,Technical Support,medium,en,Bug,Performance
Incident,Technical Support,low,en,Technical,Integration
Request,Product Support,low,en,Documentation,Integration
Request,IT Support,high,en,Customer,Strategy
Problem,Technical Support,low,de,Security,Incident
Problem,IT Support,medium,en,Technical,Campaign
Incident,Technical Support,high,en,Bug,Crash
Incident,Product Support,medium,de,Technical,Bug
Request,Product Support,medium,de,Feature,Performance
Request,Billing and Payments,medium,en,Billing,Product
Incident,Customer Service,high,en,Security,Breach
Incident,Technical Support,high,en,Technical,Integration
Change,Product Support,medium,en,Security,Compliance
Problem,Billing and Payments,medium,en,Billing,Payment
Change,IT Support,medium,de,Technical,Security
Incident,Product Support,medium,en,Security,Breach
Request,Customer Service,medium,de,Customer,Documentation
Request,Customer Service,high,de,Feedback,Product
